date,index,close,open,high,low,volume,anger,disgust,joy,sadness,fear,su
2015-05-08,4205.917,2.2800,0.9914,2.3016,-0.3203,397428100.0,4854.0,4694.0,11642.0,3210.0,12545.0,38619.0
2015-05-11,4333.584,3.0400,0.6028,3.0662,-0.4303,488750500.0,6089.0,4742.0,9390.0,1914.0,10379.0,33642.0
2015-05-12,4401.219,1.5600,0.2027,1.5859,-0.3602,521866400.0,22990.0,8064.0,16527.0,2133.0,9031.0,59861.0
2015-05-13,4375.76,-0.5800,0.0263,0.3274,-1.3346,510490500.0,9809.0,6352.0,12940.0,2151.0,8910.0,41272.0
2015-05-14,4378.311,0.0600,-0.0673,0.5024,-1.0677,449077950.0,3938.0,5431.0,10956.0,1960.0,8281.0,31630.0
2015-05-15,4308.691,-1.5900,-0.2624,-0.2624,-2.2785,439706200.0,3681.0,5010.0,10157.0,2014.0,8053.0,30028.0
2015-05-18,4283.491,-0.5800,-0.7147,0.3745,-1.1183,380057450.0,2961.0,4066.0,9642.0,1490.0,7712.0,26866.0
2015-05-19,4417.552,3.1300,0.0534,3.1496,0.0534,436735200.0,3163.0,5143.0,11105.0,1940.0,9231.0,31640.0
2015-05-20,4446.288,0.6500,0.3945,2.3313,0.3334,514106200.0,3386.0,5017.0,11111.0,2057.0,8244.0,30852.0
2015-05-21,4529.422,1.8700,0.2282,1.8935,-0.1806,464996500.0,3556.0,4969.0,12497.0,2330.0,8135.0,32614.0
2015-05-22,4657.596,2.8300,1.2267,2.8448,0.7411,655591300.0,3682.0,4992.0,11618.0,2213.0,7228.0,30906.0
2015-05-25,4813.798,3.3500,0.0532,3.3725,-0.0166,682461400.0,3758.0,5228.0,10552.0,2706.0,7851.0,31407.0
2015-05-26,4910.897,2.0200,0.8528,2.0335,-0.7213,704892850.0,4209.0,6102.0,12459.0,3094.0,8705.0,36186.0
2015-05-27,4941.714,0.6300,0.4469,0.9623,-1.0964,681165400.0,5071.0,6824.0,12710.0,3054.0,8921.0,38162.0
2015-05-28,4620.266,-6.5000,0.0410,0.9063,-6.6267,782964600.0,8958.0,8568.0,19144.0,9389.0,17497.0,67740.0
